cc_id,Title,allergens,Ingredients,yield_units,cost,cost_per_unit,yield_units,ingredient_list_str,Allergens_str,Categories_str,ID
230519,"Orange Syrup",,,,,,,,,,797
262468,"Ritz Cracker Crumble","1207, 1204",,,,,,,,,829
236495,"Tall, Dark, and Spicy","1204, 1208",,,,,,,,,861
275093,"Vegan Choco-Berry Kiss Icecream","1208, 4423",,,,,,,,,897
241289,"White Chocolate Peppermint Bark","1204, 1208",,,,,,,,,929
291705,"Matcha Mochi","4423, 1205",,,,,,,,,5498
291720,"Vegan Caramel (housemade)",4423,,,,,,,,,5531
248519,"Brownies (Sally’s Recipe)","4425, 1204, 1208",,,,,,,,,676
268269,"Cinnamon Roll Icecream","1207, 1204",,,,,,,,,710
250491,"Farmers Market Strawberry Ice Cream",,,,,,,,,,742
229049,"Mandarin Goat Cheese Icecream",1204,,,,,,,,,774
230503,"Persimmon Pulp",,,,,,,,,,808
230436,"Rugelach Icecream","1207, 1204, 1205",,,,,,,,,840
283630,"V/gf Cherry Chocolate Chip","1208, 1205",,,,,,,,,874
275080,"Vegan Ginger Peafection","4427, 1205",,,,,,,,,908
286287,"Dad Bod Icecream","1207, 1204, 1208",,,,,,,,,5477
286638,"Plain Strawberry Icecream",1204,,,,,,,,,5510
275092,"Vegan/Gf Chocolate Cake",,,,,,,,,,5542
284282,"Apple Compote",,,,,,,,,,655
275077,"Caramel cookie crunch icecream","1207, 1204, 1208",,,,,,,,,687
231309,"Cookie Monster Icecream","4425, 1207, 1204, 1208",,,0.00,0.00,0.00,,,,721
231106,"Hazelnut Praline",1205,,,,,,,,,753
230244,"Molasses Cookies","4425, 1207, 1204",,,,,,,,,787
275106,"Pumpkin Pie Icecream",1204,,,,,,,,,819
229612,"Specialty sugar cookies","4425, 1207, 1204, 1205",,,,,,,,,851
283955,"V/GF Raspberry Blondie Icerceam","4423, 1208, 1205",,,0.00,0.00,0.00,,,,885
242302,"Vegan Sun Butter Date Bark",,,,0.00,0.00,0.00,,,,919
286374,"Honey Lavender Icecream",1204,,,0.00,0.00,0.00,,,,5488
286296,"Sweet Cream Icecream",1204,,,0.00,0.00,0.00,,,,5521
229087,"Black Currant Sorbet",,,,,,,,,,666
230062,"Chocolate cake","4425, 1207, 1204, 1208",,,,,,,,,698
275095,"Death By Chocolate Icecream","4425, 1207, 1204, 1208",,,,,,,,,732
248540,"Lemon Sorbet",,,,0.00,0.00,0.00,,,,764
230517,"Orange, juiced",,,,,,,,,,798
231115,"Roasted Apples",,,,,,,,,,830
284284,"Thyme piecrust","1207, 1204",,,,,,,,,863
275089,"Vegan Chocolate Chai","1208, 1205",,,,,,,,,898
230845,"Wine Cherries",,,,,,,,,,930
230432,"Milk Chocolate Icecream","1204, 1208",,,,,,,,,5499
291718,"Vegan Cream Cheese Frosting",4423,,,,,,,,,5532
242295,Buckeyes,"1204, 1206, 1208, 1205",,,,,,,,,677
230255,"Cinnamon swirl pie crust cookies","1207, 1204",,,,,,,,,711
242606,"GF Lemon Crinkle Cookies","4425, 1204",,,,,,,,,743
243825,"Mango Passionfruit Sorbet",,,,,,,,,,775
230068,"Pie crust","1207, 1204",,,,,,,,,809
230258,"Runny Sauce",1208,,,,,,,,,841
262444,"V/GF Chocolate Cake","4423, 1208, 1205",,,,,,,,,875
237264,"Vegan Golden Milk",1205,,,0.00,0.00,0.00,,,,909
287312,"Earl Grey Icecream (Pea)","4427, 1205",,,,,,,,,5478
286361,"pluots (roasted)",,,,,,,,,,5511
286292,"Walnut Streusel",,,,,,,,,,5543
283958,"Avocado Kalamansi Sorbet",,,,,,,,,,656
240206,"Caramelized White Chocolate","1204, 1208",,,,,,,,,688
262450,"Cookies and Cream Cookies","4425, 1207, 1204, 1208",,,,,,,,,722
230492,"Hibiscus Syrup",,,,,,,,,,754
241291,"Mulled wine",,,,,,,,,,788
230252,"Pumpkin pie spice mix",,,,,,,,,,820
230434,"Spumoni Ice Cream","1204, 1208, 1205",,,,,,,,,852
242234,"V/GF Vanilla Cake","4423, 1205",,,,,,,,,886
268283,"Vegan Sun butter date bark Icecream",1205,,,,,,,,,920
286373,"HoneyComb Candy",,,,,,,,,,5489
287737,"Swiss Roll (yule log)","4425, 1207, 1208",,,,,,,,,5522
250559,"Black Forest Cheesecake Icecream","4425, 1207, 1204, 1208",,,,,,,,,667
230065,"Chocolate chip cookies","4425, 1207, 1204, 1208",,,,,,,,,700
275076,"Dirty Soda Icecream",1204,,,,,,,,,733
230357,"Lemon, juiced",,,,,,,,,,765
230518,"Orange, zested",,,,,,,,,,799
231112,"Roasted Carrots",1204,,,,,,,,,831
230247,"Tiger Queen","4422, 1207, 1204, 1208",,,,,,,,,864
236494,"Vegan Chocolate Icecream","1208, 1205",,,,,,,,,899
242232,"Winter Hot Cocoa",1208,,,,,,,,,931
286289,"Minter WonderLand Icecream","4428, 4425, 1207, 1204, 1208",,,0.00,0.00,0.00,,,,5501
287304,"Vegan Huckleberry Icecream",1205,,,0.00,0.00,0.00,,,,5533
262444,"chocolate cake v/gf",,,,0.00,0.00,0.00,,,,699
237268,"Bumpy Road Ice Cream","1204, 1206, 1208",,,,,,,,,678
268270,"Cinnamon syrup swirl",,,,,,,,,,712
230851,"Ginger Swirl",,,,,,,,,,744
230769,"Matcha Blackberry Swirl Ice Cream",1204,,,,,,,,,776
230495,"Pineapple Curd","4425, 1204",,,,,,,,,810
231126,"Salted Caramel Ganache","1204, 1208",,,,,,,,,842
242292,"V/GF Chocolate Chip Cookies",,,,,,,,,,876
275099,"Vegan lemon curd",,,,,,,,,,910
284959,"Fruit of the Forest Icecream",1204,,,,,,,,,5479
286364,"Prickly Pear Sorbet",,,,,,,,,,5512
286409,"Water Ice (base recipe)",,,,,,,,,,5544
230256,"Baked Chocolate Donuts","4425, 1207, 1204, 1208",,,,,,,,,657
283952,"Carrot Cake Icecream","1204, 1205",,,,,,,,,689
275114,"Cookies and Screams Icecream","4422, 4425, 1207, 1204, 1208",,,,,,,,,723
243816,"Honey Lemon Ricotta Icecream",1204,,,,,,,,,755
242219,"Mushroom meringues",4425,,,,,,,,,789
275108,"Pumpkin tiramisu Icecream","4425, 1207, 1204",,,,,,,,,821
248636,"Strawberry Balsamic Ice Cream",1204,,,,,,,,,853
215069,"Vanilla #3",1204,,,,,,,,,887
276614,"Vegan Sweet Potato Pie icecream",1205,,,,,,,,,921
286288,"Hot Honey Peach Icecream",1204,,,,,,,,,5490
248635,"Tastes Great Together Icecream","1207, 1204, 1206, 1208, 1205",,,,,,,,,5523
284265,"Blackberry Flake Icecream","1204, 1208",,,,,,,,,668
230246,"Chocolate cookies","4425, 1207, 1204, 1208",,,,,,,,,701
244543,"Donut Try This At Home Icecream","4428, 4425, 1207, 1204, 1208",,,,,,,,,734
230356,"Lemon, zested",,,,,,,,,,766
242227,"Oreo Pie Crust","1207, 1204, 1208",,,,,,,,,800
239648,"Roasted cherries",,,,,,,,,,832
229048,"Tres Citrus Sorbet",,,,,,,,,,865
275083,"Vegan Chocolate Peafection","4427, 1208, 1205",,,,,,,,,900
248645,"Yass Cream Slay",1204,,,,,,,,,932
284960,"Mixed Berry Compote (for ic for bfast)",,,,,,,,,,5502
286298,"Vegan Mocho-Nut Icecream","1208, 1205",,,,,,,,,5534
230432,"Milk Chocolate",1204,,,0.00,0.00,0.00,,,,781
275113,"Butter Pecan Baklava Icecream","1207, 1204, 1205",,,,,,,,,679
231104,"Citric acid solution",,,,,,,,,,713
275101,"Gingerbread Cake Icecream","4425, 1207, 1204, 1208",,,,,,,,,745
214996,"Matcha Made In Heaven Ice Cream","1207, 1204, 1208",,,,,,,,,777
230496,"Pineapple, juiced",,,,,,,,,,811
248642,"Salted Caramel Swirl (V) Ice Cream",4423,,,0.00,0.00,0.00,,,,843
230242,"Orange GingerBread Cake","4425, 1207",,,,,,,,,795
248633,"Rhubarb Crisp Icecream","1207, 1204",,,,,,,,,827
242220,"Sugared cranberries",,,,,,,,,,859
275105,"Vegan Candy Cane Peafection","4427, 1205",,,,,,,,,895
239643,"White Choco covered fruity cereal","1204, 1208",,,,,,,,,927
286619,"Mango Chamoy Icecream","4422, 4428, 1204",,,,,,,,,5496
291719,"V/GF Swiss Roll (for christmas)","4423, 4425, 1208, 1205",,,,,,,,,5529
231105,"Brownie Ice-cream Sammie","4425, 1207, 1204, 1208",,,,,,,,,674
231122,"Chocolate Truffles","1204, 1208",,,,,,,,,708
228832,"Espresso Bean Icecream","1204, 1208",,,,,,,,,740
230254,"Malted Toffee Coffee Cookies","4425, 1207, 1204, 1208, 1205",,,,,,,,,772
230250,"Peppermint hot cocoa cookies","1204, 1208",,,,,,,,,806
231124,"Rose Truffles","1204, 1208",,,,,,,,,838
283946,"V/GF Brownie Batter Up (Peafection)","4423, 4427, 1208, 1205",,,,,,,,,872
242306,"Vegan Donuts","4423, 1205",,,,,,,,,906
286631,"Choco-Covered Strawberry Icecream (COCO)","4423, 1208, 1205",,,,,,,,,5475
286295,"pickles juiced",,,,,,,,,,5508
286629,"Vegan Strawberry Icecream (PEA)","4427, 1205",,,,,,,,,5540
248520,"All Buttah Pie Dough","1207, 1204",,,,,,,,,653
284278,"Cantaloupe Icecream",1204,,,,,,,,,685
230516,"Coffee Syrup",,,,,,,,,,719
276627,"Granola Parfait Icecream","1207, 1204",,,,,,,,,751
244541,"MMMinty Icecream","4425, 1207, 1204, 1208",,,,,,,,,785
230253,"Pumpkin Cake","4425, 1207, 1204",,,,,,,,,817
242223,"Silky Ganache","1204, 1208",,,,,,,,,849
242297,"V/GF Lime Curd","4423, 1205",,,,,,,,,883
276631,"Vegan Spiced Chocolate Orange Icecream","1208, 1205",,,0.00,0.00,0.00,,,,917
286404,"Hint of Mint Ripple Icecream",1204,,,0.00,0.00,0.00,,,,5486
286406,"Sugar Plum (dairy) Icecream",1204,,,,,,,,,5519
243828,"Birthday Cake Ice Cream","4425, 1207, 1204",,,,,,,,,664
236493,"Chestnut IceCream",1204,,,,,,,,,696
230063,"Dark chocolate cookies","4425, 1207, 1204",,,,,,,,,730
230066,"Lemon meringue pie filling","4425, 1204",,,,,,,,,762
241285,"Orange Salted Chocolate ganache","1204, 1208",,,,,,,,,796
242226,"Rice Krispies pie crust","1204, 1208",,,,,,,,,828
276613,"Sweet Potato Pie Icecream","1207, 1204, 1208",,,,,,,,,860
