,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/5/2022,,12/13/2022,,12/19/2022,,12/26/2022,
Totals,26920,166,24,209,36,234,21,218,24,225,29,170,32,205,24,220,36,378,42,265,34,301,37,317,45,482,81,447,35,534,53,550,60,645,87,585,65,672,83,316,33,694,77,853,95,898,80,909,113,709,81,890,88,845,85,951,86,950,77,807,93,812,84,794,100,687,64,697,98,695,74,636,71,429,33,490,59,457,51,304,37,229,44,252,33,236,20,163,21,287,45,271,24,243,24,173,16,171,23,226,21,168,25,117,15
,,12/29/2025,,1/5/2026,,1/12/2026,,1/19/2026,,1/26/2026,,2/2/2026,,2/9/2026,,2/16/2026,,2/23/2026,,3/2/2026,,3/9/2026,,3/16/2026,,3/23/2026,,3/30/2026,,4/6/2026,,4/13/2026,,4/20/2026,,4/28/2025,,5/4/2026,,5/11/2026,,5/18/2026,,5/25/2026,,6/1/2026,,6/8/2026,,6/15/2026,,6/22/2026,,6/29/2026,,7/6/2026,,7/13/2026,,7/20/2026,,7/27/2026,,8/3/2026,,8/10/2026,,8/17/2026,,8/24/2026,,8/31/2026,,9/7/2026,,9/14/2026,,9/21/2026,,9/28/2026,,10/5/2026,,10/12/2026,,10/19/2026,,10/26/2026,,11/2/2026,,11/9/2026,,11/16/2026,,11/23/2026,,11/30/2026,,12/7/2026,,12/14/2026,,12/21/2026,
Monday,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,,26,11,14,1,18,1,22,0,9,1,18,4,18,2,24,5,15,0,8,5,18,6,26,4,0,0,26,3,38,6,13,2,36,6,37,2,32,2,54,0,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,,17,4,15,4,16,0,16,3,15,3,37,1,15,0,19,2,20,1,19,1,20,5,31,9,36,2,12,3,66,6,25,2,29,4,58,3,27,7,40,4,44,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,,0,0,18,3,18,2,19,4,25,3,16,4,27,3,23,3,19,3,15,4,21,1,21,2,48,8,12,1,63,7,28,2,36,2,59,10,48,3,45,3,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,,41,10,20,8,62,1,46,10,45,7,41,6,24,3,43,1,47,6,23,2,34,6,75,11,86,9,84,9,78,9,79,4,113,15,111,18,102,5,63,10,149,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saturday ,,63,11,79,7,60,6,55,13,77,10,81,9,104,6,46,2,84,5,71,8,73,18,89,6,85,14,170,13,86,6,171,14,184,16,232,22,201,19,86,15,109,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunday,,38,4,52,5,39,5,18,2,42,9,14,3,78,7,44,1,94,6,33,5,45,4,81,10,48,7,98,3,84,15,126,0,154,20,140,18,223,19,110,10,174,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals,7885,185,40,198,28,213,15,176,32,213,33,207,27,266,21,199,14,279,21,169,25,211,40,323,42,303,40,402,32,415,49,442,24,552,63,637,73,633,55,398,42,593,79,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
