ID,Name,Price,Price/unit,Price/unit change,Last Price Update,Supplier,Order Code,Brand,Country of Origin,Category,Lead Time,Case,Pack,Unit,Purchase Amount,Converters,Display Name,Usable Percentage,Allergens,Label Certifications,Is Added Sugar,Notes
536652,Gluten Free Oreos-Double Stuffed,1.0,$1.00/g,"","","",,nabisco,"",Uncategorized,,1.0,1.0,g,1/1g,"","SUGAR, WHITE RICE FLOUR, TAPIOCA STARCH, PALM OIL, SOYBEAN AND/OR CANOLA OIL, WHOLE OAT FLOUR, CORNSTARCH, COCOA (PROCESSED WITH ALKALI), INVERT SUGAR, SOY LECITHIN, BAKING SODA, SALT, XANTHAN GUM, CHOCOLATE, ARTIFICIAL FLAVOR.CONTAINS: SOY.",100,Soy,"",false,""
536651,Gluten Free Oreos-Single Stuffed,1.0,$1.00/g,"","","",,"","",Uncategorized,,1.0,1.0,g,1/1g,"","SUGAR, WHITE RICE FLOUR, TAPIOCA STARCH, PALM OIL, SOYBEAN AND/OR CANOLA OIL, WHOLE OAT FLOUR, CORNSTARCH, COCOA (PROCESSED WITH ALKALI), INVERT SUGAR, SOY LECITHIN, BAKING SODA, SALT, XANTHAN GUM, CHOCOLATE, ARTIFICIAL FLAVOR.CONTAINS: SOY.",100,Soy,Gluten-Free,,""
529221,Gluten Free Rolled Oats,1.0,$1.00/lb,"",2025-09-28,Chef's Warehouse,,Bobs red mill,"",Food,,1.0,1.0,lb,1/1lb,"","",100,"",Gluten-Free,false,""
530612,GMF Cake Batter Flavor,1.0,$1.00/oz,"",2025-09-28,Green Mountain Flavors,,Gmf,"",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
536655,GMF Caramel Color,1.0,$1.00/oz,"",2025-09-28,Green Mountain Flavors,,Gmf,"",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
536654,GMF Caramel Flavor,1.0,$1.00/oz,"",2025-09-28,Green Mountain Flavors,,Gmf,"",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
506909,Goat Cheese,6.39,$0.61/oz,114.67%,2024-04-04,US Foods Chefstore,,Glenview Farms,"",Food,,1.0,10.5,oz,1/10.5oz,"","",100,Milk,"",,""
510540,Golden oreos,1.0,$1.00/oz,"","","",,"","",Uncategorized,,1.0,1.0,oz,1/1oz,"","INGREDIENTS: UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), SUGAR, SOYBEAN AND/OR CANOLA OIL, PALM OIL, HIGH FRUCTOSE CORN SYRUP, SALT, BAKING SODA, SOY LECITHIN, NATURAL AND ARTIFICIAL FLAVOR.CONTAINS: WHEAT, SOY.",100,"Gluten, Soy, Wheat","",,""
576266,Golden Raisins,1.0,$1.00/lb,"","","",,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",true,""
509701,Graham Cracker,5.49,$0.38/oz,"","",US Foods Chefstore,,Honeymaid,"",Food,,1.0,14.4,oz,1/14.4oz,"","",100,"Gluten, Soy","",,""
510299,Granny Smith Apple,1.0,$1.00/each,"","","",,"","",Uncategorized,,1.0,1.0,each,1/1each,"","",100,"","",,""
506904,Grapefruit Puree,128.87,$21.48/Kg,1188.7%,2024-03-27,Chef's Warehouse,4404BO0530,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",true,""
509713,Greek Yogurt,10.79,$2.16/lb,"","",US Foods Chefstore,,Zoi,"",Food,,1.0,5.0,lb,1/5lb,"","",100,Milk,"",,""
509739,Green color,164.0,$164.00/gal,1987.98%,2024-10-14,Green Mountain Flavors,57310G,GMF,"",Food,,1.0,1.0,gal,1/1gal,1 gal = 10.42 lb,"",100,"","",false,""
